"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_1}.jpg","nok","1.31","536.2"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_2}.jpg","nok","1.74","125.9"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_3}.jpg","nok","1.65","129.66"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_4}.jpg","nok","1.67","131"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_5}.jpg","nok","0.85","131.27"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_6}.jpg","nok","1.05","127.82"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_7}.jpg","nok","1.02","127.99"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_8}.jpg","nok","1.1","125.47"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_9}.jpg","nok","0.9","126.07"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_10}.jpg","nok","1.2","125.96"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_11}.jpg","nok","1.16","125.19"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_12}.jpg","nok","1.05","127.76"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_13}.jpg","nok","1.59","124.78"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_14}.jpg","nok","1.01","128.42"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_15}.jpg","nok","1.36","127.62"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_16}.jpg","nok","1.44","128.29"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_17}.jpg","nok","1.17","127.44"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_18}.jpg","nok","1.38","128.97"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_19}.jpg","nok","1.07","129.31"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_20}.jpg","nok","1.07","129.33"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_21}.jpg","nok","1.13","126.63"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_22}.jpg","nok","1.47","126.43"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_23}.jpg","nok","2.5","127.28"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_24}.jpg","nok","1.79","126.26"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_25}.jpg","nok","2.25","125.4"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_26}.jpg","nok","1.07","124.06"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_27}.jpg","nok","1.3","125.95"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_28}.jpg","nok","0.76","125.88"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_29}.jpg","nok","0.6","126.1"
"No.","File Name","Predicted","Confinence(%)","Inspection Time(ms)"
"1","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_1}.jpg","nok","1.31","536.2"
"2","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_2}.jpg","nok","1.74","125.9"
"3","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_3}.jpg","nok","1.65","129.66"
"4","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_4}.jpg","nok","1.67","131"
"5","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_5}.jpg","nok","0.85","131.27"
"6","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_6}.jpg","nok","1.05","127.82"
"7","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_7}.jpg","nok","1.02","127.99"
"8","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_8}.jpg","nok","1.1","125.47"
"9","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_9}.jpg","nok","0.9","126.07"
"10","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_10}.jpg","nok","1.2","125.96"
"11","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_11}.jpg","nok","1.16","125.19"
"12","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_12}.jpg","nok","1.05","127.76"
"13","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_13}.jpg","nok","1.59","124.78"
"14","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_14}.jpg","nok","1.01","128.42"
"15","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_15}.jpg","nok","1.36","127.62"
"16","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_16}.jpg","nok","1.44","128.29"
"17","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_17}.jpg","nok","1.17","127.44"
"18","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_18}.jpg","nok","1.38","128.97"
"19","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_19}.jpg","nok","1.07","129.31"
"20","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_20}.jpg","nok","1.07","129.33"
"21","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_21}.jpg","nok","1.13","126.63"
"22","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{1_1-1_22}.jpg","nok","1.47","126.43"
"23","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_23}.jpg","nok","2.5","127.28"
"24","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_24}.jpg","nok","1.79","126.26"
"25","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_25}.jpg","nok","2.25","125.4"
"26","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_26}.jpg","nok","1.07","124.06"
"27","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_27}.jpg","nok","1.3","125.95"
"28","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_28}.jpg","nok","0.76","125.88"
"29","C:\Users\sommais\source\repos\IP-3000\IP3000\bin\Debug\LogImages\20241009\b00000001\b00000001-1-{2_1-1_29}.jpg","nok","0.6","126.1"
